Barcode,Artikelnummer,Locatie
8718953001556,ad142015,W..02.01.A
8718953001631,ad16222,W..02.01.A
8718953930399,ah4820k16,W.02.03.K
8718953164657,ah4825k16,W.02.03.K
3286061800576,ah104,A.02.15.H
3286061828495,ah160,A.02.14.B
3286061840169,ah167,A.02.14.C
3286061842040,ah173,A.02.14.E
3286061842293,ah175,A.02.14.E
3286061847885,ah186,A.02.14.G
3286061854036,ah189,A.02.14.G
3286061856320,ah191,A.02.14.H
3286066501928,ah192,A.02.13.A
3286064046681,ah194,A.02.13.A
3286066501959,ah195,A.02.13.A
3286064050626,ah207,A.02.13.B
3286064068539,ah210,A.02.13.C
3286064068614,ah212,A.02.13.C
3286064164583,ah221,A.02.13.D
3286064182051,ah223,A.02.13.D
3286064171895,ah233,A.02.13.D
3286064211935,ah238,A.02.13.E
3286064221354,ah244,A.02.13.E
3286064291517,ah2452,A.02.13.E
3286066502468,ah246,A.02.13.E
3286064226090,ah248,A.02.13.E
3286064229046,ah256,A.02.13.F
3286064231216,ah262,A.02.13.F
3286064232039,ah267,A.02.13.G
3286066502680,ah268,A.02.13.G
3286064237652,ah269,A.02.13.H
3286064233333,ah270,A.02.13.H
3286066502734,ah2732,A.02.13.H
3286064235467,ah2752,A.02.13.H
3286064238956,ah280,A.02.12.A
3286064239892,ah282,A.02.12.A
3286066502840,ah284,A.02.12.A
3286066502864,ah286,A.02.12.A
3286066503007,ah300,A.02.12.B
3286066503014,ah301,A.02.12.B
3286066503038,ah303,A.02.12.C
3286066503328,ah332,A.02.12.D
3286066503403,ah340,A.02.12.D
3286066503410,ah341,A.02.12.E
3286066503458,ah345,A.02.12.E
3286066503533,ah353,A.02.12.E
3286066503601,ah360,A.02.12.F
3286066503700,ah370,A.02.12.F
3286066503717,ah371,A.02.12.G
3286066503731,ah373,A.02.12.G
3286066503786,ah378,A.02.12.G
3286066503922,ah392,A.02.12.H
3286066503953,ah395,A.02.12.H
3286066503960,ah396,A.02.12.H
3286066504059,ah405,A.02.11.A
3286066504097,ah409,A.02.11.A
3286066504127,ah412,A.02.11.A
3286066504257,ah4252,A.02.11.B
3286066504264,ah426,A.02.11.B
3286066504288,ah4282,A.02.11.B
3286066504820,ah482,A.02.11.B
3286066504844,ah484,A.02.11.B
3286066504950,ah495,A.02.11.C
3286066505124,ah512,A.02.11.C
3286066505155,ah515,A.02.11.C
3286066505216,ah521,A.02.11.D
3286066507036,ah703,A.02.11.E
3286066507142,ah714,A.02.11.E
3286066507258,ah7252,A.02.11.E
3286066507302,ah730,A.02.11.E
3286066507326,ah732,A.02.11.E
3286064132278,ahc191,A.02.11.G
3286066602076,ahc207,A.02.11.G
3286064234637,ahc238,A.02.11.H
3286064291524,ahc2452,A.02.10.A
3286066602564,ahc256,A.02.10.A
3286066602618,ahc2612,A.02.10.A
3286064232046,ahc267,A.02.10.B
3286066602731,ahc2732,A.02.10.C
3286064241048,ahc284,A.02.10.C
3286066602861,ahc286,A.02.10.C
3286066603400,ahc340,A.02.10.D
3286066603622,ahc362,A.02.10.D
3286066603783,ahc378,A.02.10.E
3286066603868,ahc386,A.02.10.E
3286066603929,ahc392,A.02.10.E
3286066604025,ahc402,A.02.10.F
3286066604056,ahc405,A.02.10.F
3286066604124,ahc412,A.02.10.F
3286066605121,ahc512,A.02.10.G
3286066605169,ahc516,A.02.10.G
3286066605176,ahc518,A.02.10.G
3286066605671,ahc567,A.02.10.H
3286066607149,ahc714,A.02.10.H
3286066607200,ahc720,A.02.09.A
3286066607224,ahc722,A.02.09.A
3286066607255,ahc7252,A.02.09.A
3286066607293,ahc729,A.02.10.H
3286066903920,ahh392,A.02.09.B
5400608363821,antk1192,A.12.08.E
8718953005714,ar7,B.01.01.B
8718953005523,ar10,W..02.01.B
8718953005578,ar15,W..02.01.B
8718953005592,ar17,W..02.01.B
8718953005608,ar18,W..02.01.B
8718953220315,ar51,W.02.01.C
8718953005868,as16222,B.01.01.D
4044197516070,aubj7440,A.06.16.A
0087295161302,bcpr5es,A.05.03.I
0087295179567,bkr5ek,A.05.02.E
0087295120873,bkr5eya,A.05.01.E
0087295122884,bkr6ek,A.05.01.E
